conv_layer1.0.weight 	 torch.Size([16, 1, 3, 3, 3])
conv_layer1.0.bias 	 torch.Size([16])
conv_layer1.2.weight 	 torch.Size([16])
conv_layer1.2.bias 	 torch.Size([16])
conv_layer1.2.running_mean 	 torch.Size([16])
conv_layer1.2.running_var 	 torch.Size([16])
conv_layer2.0.weight 	 torch.Size([16, 16, 3, 3, 3])
conv_layer2.0.bias 	 torch.Size([16])
conv_layer2.2.weight 	 torch.Size([16])
conv_layer2.2.bias 	 torch.Size([16])
conv_layer2.2.running_mean 	 torch.Size([16])
conv_layer2.2.running_var 	 torch.Size([16])
sepconv1.0.weight 	 torch.Size([3200, 1, 5, 5])
sepconv1.0.bias 	 torch.Size([3200])
sepconv1.2.weight 	 torch.Size([320, 3200, 1, 1])
sepconv1.2.bias 	 torch.Size([320])
sepconv1.4.weight 	 torch.Size([320])
sepconv1.4.bias 	 torch.Size([320])
sepconv1.4.running_mean 	 torch.Size([320])
sepconv1.4.running_var 	 torch.Size([320])
sepconv2.0.weight 	 torch.Size([320, 1, 3, 3])
sepconv2.0.bias 	 torch.Size([320])
sepconv2.2.weight 	 torch.Size([256, 320, 1, 1])
sepconv2.2.bias 	 torch.Size([256])
sepconv2.4.weight 	 torch.Size([256])
sepconv2.4.bias 	 torch.Size([256])
sepconv2.4.running_mean 	 torch.Size([256])
sepconv2.4.running_var 	 torch.Size([256])
sepconv3.0.weight 	 torch.Size([256, 1, 3, 3])
sepconv3.0.bias 	 torch.Size([256])
sepconv3.2.weight 	 torch.Size([256, 256, 1, 1])
sepconv3.2.bias 	 torch.Size([256])
sepconv3.4.weight 	 torch.Size([256])
sepconv3.4.bias 	 torch.Size([256])
sepconv3.4.running_mean 	 torch.Size([256])
sepconv3.4.running_var 	 torch.Size([256])
fc1.weight 	 torch.Size([16, 256])
fc1.bias 	 torch.Size([16])
